_id,level,max_velocity,name,type
330809460,3,-1.0,(không tên),unclassified
330809479,3,-1.0,(không tên),unclassified
330871757,3,-1.0,(không tên),unclassified
330871776,3,-1.0,(không tên),unclassified
330919100,3,-1.0,(không tên),unclassified
330919136,3,-1.0,Đường số 2,tertiary
330919137,3,-1.0,Đường số 3B,unclassified
330919139,3,-1.0,Đường số 3,tertiary
330921633,3,-1.0,Đường số 10,unclassified
330921647,3,-1.0,(không tên),unclassified
331790871,3,-1.0,Lâm Viên,unclassified
331790879,3,-1.0,Lâm Viên,unclassified
331790880,3,-1.0,Lâm Viên,unclassified
331790881,3,-1.0,Lâm Viên,unclassified
331790882,3,-1.0,Lâm Viên,unclassified
331791284,3,-1.0,Lâm Viên,unclassified
332925046,3,-1.0,(không tên),unclassified
332925047,3,-1.0,(không tên),unclassified
332925048,3,-1.0,(không tên),unclassified
333220661,2,-1.0,Nhánh D2,motorway_link
333220664,0,80.0,Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,motorway
333379575,3,-1.0,(không tên),tertiary
333380150,0,80.0,Nguyễn Văn Linh,trunk
336325176,1,-1.0,Quốc lộ 1,primary
336325180,0,80.0,Quốc lộ 1,trunk
338063100,3,-1.0,Lê Thánh Tôn,tertiary
339106354,3,-1.0,Bàn Cờ,unclassified
339313797,0,100.0,Đường Cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,motorway
339315416,0,80.0,Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,motorway
339321612,0,50.0,Xa Lộ Hà Nội,trunk
339357646,2,-1.0,(không tên),motorway_link
